,watch_name,Watch Description,Watch Price,Total Rating
141,NIBOSI,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,"2,699",150
142,Fossil,Chronograph Black Men Watch CH2885,"6,145","1,493"
143,Fossil,Chronograph Black Dial Men's Watch-BQ2364,"6,597","1,393"
144,Acnos,"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Deep Blue)","2,999","1,672"
145,Sonata,Brand - A Watch Analogue Plain Black Dial Magnet Watch With Gift Bracelet For Women Or Girls And Watch For Girl Or Women (Combo Of 3),329,747
146,LOUIS DEVIN,Splash Analog Off-White Dial Women's Watch-8976SL15/NP8976SL15,"1,499",87
147,Fire-Boltt ,Mesh Steel Chain Analog Wrist Watch for Men (LD-G042),329,"1,109"
148,Fastrack,"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Galaxy Blue)","1,699",255
149,boAt,Trendies Analog Black Dial Men's Watch-38058PP03/NP38058PP03,299,"127,137"
150,LORENZ,TAGG Verve NEO Smartwatch 1.69’’ HD Display | 60+ Sports Modes | 10 Days Battery | 150+ Maximum Watch Face Library | Waterproof | 24 * 7 HeartRate & Blood Oxygen Tracking | Games & Calculator | Grey,"2,799",878
151,TAGG,Analog Watch for Men | Watch for Boys,"1,550",674
152,TIMEX,"Hammer Pulse X 1.83"" Display Smart Watch with Bluetooth Calling, Voice Assistant & 60+ Sports Modes, SpO2, Heart Rate Tracking (Black)",749,163
153,Hammer,Analog Rose Gold Dial Women's Watch-TWEL11817,395,"5,880"
154,SELLORIA,"beatXP Marv Raze 1.96"" Display, Advanced Bluetooth Calling Smart Watch, Smart AI Voice Assistant, 60 Hz Refresh Rate, Health, SpO2 & Stress Monitoring, Fast Charging (Blue)","1,599",491
155,beatXP,The Watch (Fourteen Tales of Thirteen Covens Book 5),"1,455",243
156,hamt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Mens Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,699",333
157,Fossil,"Fire-Boltt Quantum Luxury Stainless Steel Design 1.28"" Bluetooth Calling Smartwatch with High Resolution of 240 * 240 Px & TWS Connection, SpO2 Tracking with 100 Sports Modes (Raven Gold)",0,912
158,Fire-Boltt,Analog Men's Watch (Multicolor Dial Multi Colored Strap),"1,499",3
159,boAt,Chronograph White Dial Men's Watch-CH2882,139,"2,832"
160,Audrey Brice,"PTron Newly Launched Force X10S Smartwatch with Bluetooth Calling, 1.85"" Full Touch Display, 600 NITS Brightness, HR, SpO2, Watch Faces, Voice Assistant, 5days Battery Life & IP68 Waterproof (Black)","5,595",83
161,pTron,"boAt Wave Edge with 1.85"" HD Display, Advanced Bluetooth Calling Chip, Functional Crown, 100+ Sports Modes,Widget Control,AI Voice Assistance,Inbuilt Games, IP68(Active Black)","3,999","3,347"
162,Acnos,"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, 1.69"" Display, AI Voice Assistance with 100 Sports Modes, with SpO2 & Heart Rate Monitoring (Navy Blue)","2,099","22,197"
163,Fire-Boltt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,499","1,338"
164,TIMEX,Casual Analog Dial Men's Watch -NM3124SL02 / NL3124SL02/NP3124SL02,285,122
165,Fastrack,"Men's Analog White Dial Coloured Quartz Watch, Round Dial Rose Gold Stainless Steel Case - TWNTG0900",284,"1,015"
166,Titan,"Digital 24 Images Projector Watch for Kids Boys Rubber Material Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906",999,"3,700"
167,ADAMO,Neo Analog Grey Dial Women's Watch-2648WL01,"1,695",13
168,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
169,Mobivax,"Bluetooth Smart Watch for Men Women Girls Boys Kids - ID116 Fitness Watch with Heart Rate, Sleep and Pedometer Monitoring, Feature-Rich Activity Tracker",449,379
170,Shocknshop,New Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24 * 7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control,375,"1,517"
171,BENYAR,Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),"2,690",34
172,Fastrack,Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men,"1,595",593
173,Shocknshop,"SENS NUTON 1 with 1.7 IPS Display, Orbiter, 5ATM & 150+ Watch Faces & Free Additional Strap (Royal Silver)",489,114
174,SENS,Analog Digital Sports Black Dial Multi Functional Mens Boys Watch -SK1155,"1,099",456
175,Matrix,Trendies Analog Black Dial Men's Watch-NL38048PP01,275,900
176,REDUX,Analog Blue-Grey Dial Men's Watch,245,"2,309"
177,V2A,"Boys and Girls Kids Watch - Waterproof Watch, Gifts for Boys and Girls Age 5-13 for Multi-Functional 30 M Waterproof Digital Sports Watches for 3 4 5 6 7 Year Old Girls",799,0
178,V2A,Black Dial Digital Sports Watch 5ATM Waterproof with Alarm and Stopwatch Wrist Watch for Men and Boys | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,395,705
179,WRIGHTRACK,Analogue Men's Watch (White Dial Brown Colored Strap),"1,999","3,027"
180,CRESTELLO,Black Plated Metal Chain Analog Wrist Watch for Men | CR-BK023-BLK-CH,"5,595","3,347"
181,Fossil,Chronograph White Dial Men's Watch-CH2882,349,5
182,LOUIS DEVIN,Stainless Steel Chain Analog Wrist Watch for Men (Silver/Green/Blue/Black Dial) | LD-CP059,"1,499",205
183,Fossil,Tillie Analog White Dial Women's Watch-BQ3497,"7,145",332
184,boAt,Analog Men's Watch (Dial Colored Strap),355,322
185,TIMEWEAR,"boAt Newly Launched Ultima Call Max with 2"" Big HD Display, Advanced BT Calling, 100+ Sports Modes, 10 Days Battery Life, Multiple Watch Faces, IP68, HR & SpO2, Sedentary Alerts(Cherry Blossom)","1,999","12,928"
186,Sonata,WT030 Leather Strap Analog Wrist Watch for Men,299,696
187,LOUIS DEVIN,Fibre (SF) Analog Silver Dial Men's Watch NL7921PP15 / NL7921PP15,549,"2,148"
188,MARVIK,Analogue Women's Watch (Black Dial),339,736
189,IMPERIOUS - THE ROYAL WAY,"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls",449,40
190,Fire-Boltt,Digital Sports Square Black Dial Stainless Steel Strap Unisex Watch (Black Dial & Silver Colored Strap) -WCH53,799,"62,531"
191,Shocknshop,"Fire-Boltt Talk 2 Pro Bluetooth Calling Smartwatch, 1.39"" TFT Display with Dual Button, Hands On Voice Assistance, 120 Sports Modes, in Built Mic & Speaker with IP68 Rating (Green)","1,799","6,589"
192,Fire-Boltt,Multi Color Army Kids Digital Watch for Boys,249,216
193,SWADESI STUFF,"Noise Scout Kids Smartwatch with Assisted GPS Tracking, 4G Video & Voice Call, Safe Zone Alert, SOS Button, Habit Formation, in-Built Games, Buddy App for Parents (Racing Black)","5,999",140
194,Noise,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,0,"5,658"
195,V2A,"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368 * 448 Pixel Resolution, Rotating Crown & 60Hz Refresh Rate 100+ Sports Mode, TWS Connection, Voice Assistance (Champagne Gold)",688,"41,349"
196,Hammer,Cammando Midnight Black Analog Digital Sport Watches for Men's and Boys,"1,799",12
197,TIMEWEAR,The Watch,"2,699","5,504"
198,Ben Stiller,"Hammer Stroke 1.96"" Calling Smart Watch with Strong Metallic Body, in Built Games, 100+ Sports Modes, Customized Watchfaces (Black)","1,299",150
199,boAt,Analog New Track Day Date Functioning Leather Strap Watch for Men,990,"1,443"
200,TIMEX,Analog Men's Watch (Dial Colored Strap),"2,699","14,135"
201,NIBOSI,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,"6,145",150
202,Fossil,Chronograph Black Men Watch CH2885,"6,597","1,493"
203,Fossil,Chronograph Black Dial Men's Watch-BQ2364,349,"1,393"
204,Acnos,"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Deep Blue)","2,999","1,672"
205,Sonata,Brand - A Watch Analogue Plain Black Dial Magnet Watch With Gift Bracelet For Women Or Girls And Watch For Girl Or Women (Combo Of 3),329,747
206,LOUIS DEVIN,Splash Analog Off-White Dial Women's Watch-8976SL15/NP8976SL15,"1,499",87
207,Fire-Boltt ,Mesh Steel Chain Analog Wrist Watch for Men (LD-G042),329,"1,109"
208,Fastrack,"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Galaxy Blue)","1,699",255
209,boAt,Trendies Analog Black Dial Men's Watch-38058PP03/NP38058PP03,299,"127,137"
210,LORENZ,TAGG Verve NEO Smartwatch 1.69’’ HD Display | 60+ Sports Modes | 10 Days Battery | 150+ Maximum Watch Face Library | Waterproof | 24 * 7 HeartRate & Blood Oxygen Tracking | Games & Calculator | Grey,"2,799",878
211,TAGG,Analog Watch for Men | Watch for Boys,"1,550",674
212,TIMEX,"Hammer Pulse X 1.83"" Display Smart Watch with Bluetooth Calling, Voice Assistant & 60+ Sports Modes, SpO2, Heart Rate Tracking (Black)",749,163
213,Hammer,Analog Rose Gold Dial Women's Watch-TWEL11817,395,"5,880"
214,SELLORIA,"beatXP Marv Raze 1.96"" Display, Advanced Bluetooth Calling Smart Watch, Smart AI Voice Assistant, 60 Hz Refresh Rate, Health, SpO2 & Stress Monitoring, Fast Charging (Blue)","1,599",491
215,beatXP,The Watch (Fourteen Tales of Thirteen Covens Book 5),"1,455",243
216,hamt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Mens Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,699",333
217,Fossil,"Fire-Boltt Quantum Luxury Stainless Steel Design 1.28"" Bluetooth Calling Smartwatch with High Resolution of 240 * 240 Px & TWS Connection, SpO2 Tracking with 100 Sports Modes (Raven Gold)",0,912
218,Fire-Boltt,Analog Men's Watch (Multicolor Dial Multi Colored Strap),"1,499",3
219,boAt,Chronograph White Dial Men's Watch-CH2882,139,"2,832"
220,Audrey Brice,"PTron Newly Launched Force X10S Smartwatch with Bluetooth Calling, 1.85"" Full Touch Display, 600 NITS Brightness, HR, SpO2, Watch Faces, Voice Assistant, 5days Battery Life & IP68 Waterproof (Black)","5,595",83
221,pTron,"boAt Wave Edge with 1.85"" HD Display, Advanced Bluetooth Calling Chip, Functional Crown, 100+ Sports Modes,Widget Control,AI Voice Assistance,Inbuilt Games, IP68(Active Black)","3,999","3,347"
222,Acnos,"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, 1.69"" Display, AI Voice Assistance with 100 Sports Modes, with SpO2 & Heart Rate Monitoring (Navy Blue)","2,099","22,197"
223,Fire-Boltt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,499","1,338"
224,TIMEX,Casual Analog Dial Men's Watch -NM3124SL02 / NL3124SL02/NP3124SL02,285,122
225,Fastrack,"Men's Analog White Dial Coloured Quartz Watch, Round Dial Rose Gold Stainless Steel Case - TWNTG0900",284,"1,015"
226,Titan,"Digital 24 Images Projector Watch for Kids Boys Rubber Material Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906",999,"3,700"
227,ADAMO,Neo Analog Grey Dial Women's Watch-2648WL01,"1,695",13
228,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
229,Mobivax,"Bluetooth Smart Watch for Men Women Girls Boys Kids - ID116 Fitness Watch with Heart Rate, Sleep and Pedometer Monitoring, Feature-Rich Activity Tracker",449,379
230,Shocknshop,New Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24 * 7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control,375,"1,517"
231,BENYAR,Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),"2,690",34
232,Fastrack,Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men,"1,595",593
233,Shocknshop,"SENS NUTON 1 with 1.7 IPS Display, Orbiter, 5ATM & 150+ Watch Faces & Free Additional Strap (Royal Silver)",489,114
234,SENS,Analog Digital Sports Black Dial Multi Functional Mens Boys Watch -SK1155,"1,099",456
235,Matrix,Trendies Analog Black Dial Men's Watch-NL38048PP01,275,900
236,REDUX,Analog Blue-Grey Dial Men's Watch,245,"2,309"
237,V2A,Black Dial Digital Sports Watch 5ATM Waterproof with Alarm and Stopwatch Wrist Watch for Men and Boys | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,799,0
238,WRIGHTRACK,Analogue Men's Watch (White Dial Brown Colored Strap),"1,199",705
239,TIMEX,Men's Watches Fashion Chronograph Luxury Dress Waterproof Quartz Wristwatches for Men Stainless Steel Band | Birthday Anniversary Gift for Men,395,"3,027"
240,CRESTELLO,Black Plated Metal Chain Analog Wrist Watch for Men | CR-BK023-BLK-CH,"5,595","3,347"
241,Fossil,Chronograph White Dial Men's Watch-CH2882,349,5
242,LOUIS DEVIN,Stainless Steel Chain Analog Wrist Watch for Men (Silver/Green/Blue/Black Dial) | LD-CP059,"1,499",205
243,Fossil,Tillie Analog White Dial Women's Watch-BQ3497,"7,145",332
244,boAt,Analog Men's Watch (Dial Colored Strap),355,322
245,TIMEWEAR,"boAt Newly Launched Ultima Call Max with 2"" Big HD Display, Advanced BT Calling, 100+ Sports Modes, 10 Days Battery Life, Multiple Watch Faces, IP68, HR & SpO2, Sedentary Alerts(Cherry Blossom)","1,999","12,928"
246,Sonata,WT030 Leather Strap Analog Wrist Watch for Men,299,696
247,LOUIS DEVIN,Fibre (SF) Analog Silver Dial Men's Watch NL7921PP15 / NL7921PP15,549,"2,148"
248,MARVIK,Analogue Women's Watch (Black Dial),339,736
249,IMPERIOUS - THE ROYAL WAY,"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls",449,40
250,Fire-Boltt,Digital Sports Square Black Dial Stainless Steel Strap Unisex Watch (Black Dial & Silver Colored Strap) -WCH53,799,"62,531"
251,Shocknshop,"Fire-Boltt Talk 2 Pro Bluetooth Calling Smartwatch, 1.39"" TFT Display with Dual Button, Hands On Voice Assistance, 120 Sports Modes, in Built Mic & Speaker with IP68 Rating (Green)","1,799","6,589"
252,Fire-Boltt,Multi Color Army Kids Digital Watch for Boys,249,216
253,SWADESI STUFF,"Noise Scout Kids Smartwatch with Assisted GPS Tracking, 4G Video & Voice Call, Safe Zone Alert, SOS Button, Habit Formation, in-Built Games, Buddy App for Parents (Racing Black)","5,999",140
254,Noise,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,0,"5,658"
255,V2A,"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368 * 448 Pixel Resolution, Rotating Crown & 60Hz Refresh Rate 100+ Sports Mode, TWS Connection, Voice Assistance (Champagne Gold)",688,"41,350"
256,Hammer,Cammando Midnight Black Analog Digital Sport Watches for Men's and Boys,"1,799",12
257,TIMEWEAR,The Watch,"2,699","5,504"
258,Ben Stiller,"Hammer Stroke 1.96"" Calling Smart Watch with Strong Metallic Body, in Built Games, 100+ Sports Modes, Customized Watchfaces (Black)","1,299",150
259,boAt,Analog New Track Day Date Functioning Leather Strap Watch for Men,990,"1,443"
260,NIBOSI,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
261,Fossil,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,"2,699",150
262,Fossil,Chronograph Black Men Watch CH2885,"6,145","1,493"
263,LOUIS DEVIN,Chronograph Black Dial Men's Watch-BQ2364,"6,597","1,393"
264,Acnos,"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Deep Blue)","2,999","1,672"
265,Sonata,Brand - A Watch Analogue Plain Black Dial Magnet Watch With Gift Bracelet For Women Or Girls And Watch For Girl Or Women (Combo Of 3),329,747
266,LOUIS DEVIN,Splash Analog Off-White Dial Women's Watch-8976SL15/NP8976SL15,"1,499",87
267,Fire-Boltt ,Mesh Steel Chain Analog Wrist Watch for Men (LD-G042),329,"1,109"
268,Fastrack,"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Galaxy Blue)","1,699",255
269,boAt,Trendies Analog Black Dial Men's Watch-38058PP03/NP38058PP03,299,"127,137"
270,LORENZ,TAGG Verve NEO Smartwatch 1.69’’ HD Display | 60+ Sports Modes | 10 Days Battery | 150+ Maximum Watch Face Library | Waterproof | 24 * 7 HeartRate & Blood Oxygen Tracking | Games & Calculator | Grey,"2,799",878
271,TAGG,Analog Watch for Men | Watch for Boys,"1,550",674
272,TIMEX,"Hammer Pulse X 1.83"" Display Smart Watch with Bluetooth Calling, Voice Assistant & 60+ Sports Modes, SpO2, Heart Rate Tracking (Black)",749,163
273,Hammer,Analog Rose Gold Dial Women's Watch-TWEL11817,395,"5,880"
274,SELLORIA,"beatXP Marv Raze 1.96"" Display, Advanced Bluetooth Calling Smart Watch, Smart AI Voice Assistant, 60 Hz Refresh Rate, Health, SpO2 & Stress Monitoring, Fast Charging (Blue)","1,599",491
275,beatXP,The Watch (Fourteen Tales of Thirteen Covens Book 5),"1,455",243
276,hamt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Mens Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,699",333
277,Fossil,"Fire-Boltt Quantum Luxury Stainless Steel Design 1.28"" Bluetooth Calling Smartwatch with High Resolution of 240 * 240 Px & TWS Connection, SpO2 Tracking with 100 Sports Modes (Raven Gold)",0,912
278,Fire-Boltt,Analog Men's Watch (Multicolor Dial Multi Colored Strap),"1,499",3
279,boAt,Chronograph White Dial Men's Watch-CH2882,139,"2,832"
