,watch_name,Watch Description,Watch Price,Total Rating
280,Audrey Brice,"PTron Newly Launched Force X10S Smartwatch with Bluetooth Calling, 1.85"" Full Touch Display, 600 NITS Brightness, HR, SpO2, Watch Faces, Voice Assistant, 5days Battery Life & IP68 Waterproof (Black)","5,595",83
281,pTron,"boAt Wave Edge with 1.85"" HD Display, Advanced Bluetooth Calling Chip, Functional Crown, 100+ Sports Modes,Widget Control,AI Voice Assistance,Inbuilt Games, IP68(Active Black)","3,999","3,347"
282,Acnos,"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, 1.69"" Display, AI Voice Assistance with 100 Sports Modes, with SpO2 & Heart Rate Monitoring (Navy Blue)","2,099","22,197"
283,Fire-Boltt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,499","1,338"
284,TIMEX,Casual Analog Dial Men's Watch -NM3124SL02 / NL3124SL02/NP3124SL02,285,122
285,Fastrack,"Men's Analog White Dial Coloured Quartz Watch, Round Dial Rose Gold Stainless Steel Case - TWNTG0900",284,"1,015"
286,Titan,"Digital 24 Images Projector Watch for Kids Boys Rubber Material Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906",999,"3,700"
287,ADAMO,Neo Analog Grey Dial Women's Watch-2648WL01,"1,695",13
288,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
289,Mobivax,"Bluetooth Smart Watch for Men Women Girls Boys Kids - ID116 Fitness Watch with Heart Rate, Sleep and Pedometer Monitoring, Feature-Rich Activity Tracker",449,379
290,Shocknshop,New Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24 * 7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control,375,"1,517"
291,BENYAR,Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),"2,690",34
292,Fastrack,Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men,"1,595",593
293,Shocknshop,"SENS NUTON 1 with 1.7 IPS Display, Orbiter, 5ATM & 150+ Watch Faces & Free Additional Strap (Royal Silver)",489,114
294,SENS,Analog Digital Sports Black Dial Multi Functional Mens Boys Watch -SK1155,"1,099",456
295,Matrix,Trendies Analog Black Dial Men's Watch-NL38048PP01,275,900
296,REDUX,Analog Blue-Grey Dial Men's Watch,245,"2,309"
297,V2A,"Boys and Girls Kids Watch - Waterproof Watch, Gifts for Boys and Girls Age 5-13 for Multi-Functional 30 M Waterproof Digital Sports Watches for 3 4 5 6 7 Year Old Girls",599,705
298,TIMEX,Black Dial Digital Sports Watch 5ATM Waterproof with Alarm and Stopwatch Wrist Watch for Men and Boys | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,799,"3,027"
299,WRIGHTRACK,Analogue Men's Watch (White Dial Brown Colored Strap),395,733
300,CRESTELLO,Black Plated Metal Chain Analog Wrist Watch for Men | CR-BK023-BLK-CH,"5,595","3,347"
301,Fossil,Chronograph White Dial Men's Watch-CH2882,349,5
302,LOUIS DEVIN,Stainless Steel Chain Analog Wrist Watch for Men (Silver/Green/Blue/Black Dial) | LD-CP059,"1,499",205
303,Fossil,Tillie Analog White Dial Women's Watch-BQ3497,"7,145",332
304,boAt,Analog Men's Watch (Dial Colored Strap),355,322
305,TIMEWEAR,"boAt Newly Launched Ultima Call Max with 2"" Big HD Display, Advanced BT Calling, 100+ Sports Modes, 10 Days Battery Life, Multiple Watch Faces, IP68, HR & SpO2, Sedentary Alerts(Cherry Blossom)","1,999","12,928"
306,Sonata,WT030 Leather Strap Analog Wrist Watch for Men,299,696
307,LOUIS DEVIN,Fibre (SF) Analog Silver Dial Men's Watch NL7921PP15 / NL7921PP15,549,"2,148"
308,MARVIK,Analogue Women's Watch (Black Dial),339,736
309,IMPERIOUS - THE ROYAL WAY,"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls",449,40
310,Fire-Boltt,Digital Sports Square Black Dial Stainless Steel Strap Unisex Watch (Black Dial & Silver Colored Strap) -WCH53,799,"62,531"
311,Shocknshop,"Fire-Boltt Talk 2 Pro Bluetooth Calling Smartwatch, 1.39"" TFT Display with Dual Button, Hands On Voice Assistance, 120 Sports Modes, in Built Mic & Speaker with IP68 Rating (Green)","1,799","6,589"
312,Fire-Boltt,Multi Color Army Kids Digital Watch for Boys,249,216
313,SWADESI STUFF,"Noise Scout Kids Smartwatch with Assisted GPS Tracking, 4G Video & Voice Call, Safe Zone Alert, SOS Button, Habit Formation, in-Built Games, Buddy App for Parents (Racing Black)","5,999",140
314,Noise,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,0,"5,658"
315,V2A,"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368 * 448 Pixel Resolution, Rotating Crown & 60Hz Refresh Rate 100+ Sports Mode, TWS Connection, Voice Assistance (Champagne Gold)",688,"41,350"
316,Hammer,Cammando Midnight Black Analog Digital Sport Watches for Men's and Boys,"1,799",12
317,TIMEWEAR,The Watch,"2,699","5,504"
318,Ben Stiller,"Hammer Stroke 1.96"" Calling Smart Watch with Strong Metallic Body, in Built Games, 100+ Sports Modes, Customized Watchfaces (Black)","1,299",150
319,boAt,Analog New Track Day Date Functioning Leather Strap Watch for Men,990,"1,443"
320,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
321,NIBOSI,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,329,150
322,Fossil,Chronograph Black Men Watch CH2885,"6,145","1,493"
323,Fossil,Chronograph Black Dial Men's Watch-BQ2364,"6,597","1,393"
324,Acnos,"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Deep Blue)","2,999","1,672"
325,Sonata,Brand - A Watch Analogue Plain Black Dial Magnet Watch With Gift Bracelet For Women Or Girls And Watch For Girl Or Women (Combo Of 3),329,747
326,LOUIS DEVIN,Splash Analog Off-White Dial Women's Watch-8976SL15/NP8976SL15,"1,499",87
327,Fire-Boltt ,Mesh Steel Chain Analog Wrist Watch for Men (LD-G042),329,"1,109"
328,Fastrack,"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Galaxy Blue)","1,699",255
329,boAt,Trendies Analog Black Dial Men's Watch-38058PP03/NP38058PP03,299,"127,137"
330,LORENZ,TAGG Verve NEO Smartwatch 1.69’’ HD Display | 60+ Sports Modes | 10 Days Battery | 150+ Maximum Watch Face Library | Waterproof | 24 * 7 HeartRate & Blood Oxygen Tracking | Games & Calculator | Grey,"2,799",878
331,TAGG,Analog Watch for Men | Watch for Boys,"1,550",674
332,TIMEX,"Hammer Pulse X 1.83"" Display Smart Watch with Bluetooth Calling, Voice Assistant & 60+ Sports Modes, SpO2, Heart Rate Tracking (Black)",749,163
333,Hammer,Analog Rose Gold Dial Women's Watch-TWEL11817,395,"5,880"
334,SELLORIA,"beatXP Marv Raze 1.96"" Display, Advanced Bluetooth Calling Smart Watch, Smart AI Voice Assistant, 60 Hz Refresh Rate, Health, SpO2 & Stress Monitoring, Fast Charging (Blue)","1,599",491
335,beatXP,The Watch (Fourteen Tales of Thirteen Covens Book 5),"1,455",243
336,hamt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Mens Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,699",333
337,Fossil,"Fire-Boltt Quantum Luxury Stainless Steel Design 1.28"" Bluetooth Calling Smartwatch with High Resolution of 240 * 240 Px & TWS Connection, SpO2 Tracking with 100 Sports Modes (Raven Gold)",0,912
338,Fire-Boltt,Analog Men's Watch (Multicolor Dial Multi Colored Strap),"1,499",3
339,boAt,Chronograph White Dial Men's Watch-CH2882,139,"2,832"
340,Audrey Brice,"PTron Newly Launched Force X10S Smartwatch with Bluetooth Calling, 1.85"" Full Touch Display, 600 NITS Brightness, HR, SpO2, Watch Faces, Voice Assistant, 5days Battery Life & IP68 Waterproof (Black)","5,595",83
341,pTron,"boAt Wave Edge with 1.85"" HD Display, Advanced Bluetooth Calling Chip, Functional Crown, 100+ Sports Modes,Widget Control,AI Voice Assistance,Inbuilt Games, IP68(Active Black)","3,999","3,347"
342,Acnos,"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, 1.69"" Display, AI Voice Assistance with 100 Sports Modes, with SpO2 & Heart Rate Monitoring (Navy Blue)","2,099","22,197"
343,Fire-Boltt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,499","1,338"
344,TIMEX,Casual Analog Dial Men's Watch -NM3124SL02 / NL3124SL02/NP3124SL02,285,122
345,Fastrack,"Men's Analog White Dial Coloured Quartz Watch, Round Dial Rose Gold Stainless Steel Case - TWNTG0900",284,"1,015"
346,Titan,"Digital 24 Images Projector Watch for Kids Boys Rubber Material Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906",999,"3,700"
347,ADAMO,Neo Analog Grey Dial Women's Watch-2648WL01,"1,695",13
348,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
349,Mobivax,"Bluetooth Smart Watch for Men Women Girls Boys Kids - ID116 Fitness Watch with Heart Rate, Sleep and Pedometer Monitoring, Feature-Rich Activity Tracker",449,379
350,Shocknshop,New Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24 * 7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control,375,"1,517"
351,BENYAR,Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),"2,690",34
352,Fastrack,Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men,"1,595",593
353,Shocknshop,"SENS NUTON 1 with 1.7 IPS Display, Orbiter, 5ATM & 150+ Watch Faces & Free Additional Strap (Royal Silver)",489,114
354,SENS,Analog Digital Sports Black Dial Multi Functional Mens Boys Watch -SK1155,"1,099",456
355,Matrix,Trendies Analog Black Dial Men's Watch-NL38048PP01,275,900
356,REDUX,Analog Blue-Grey Dial Men's Watch,245,"2,309"
357,V2A,Black Dial Digital Sports Watch 5ATM Waterproof with Alarm and Stopwatch Wrist Watch for Men and Boys | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,799,705
358,WRIGHTRACK,Analogue Men's Watch (White Dial Brown Colored Strap),395,"3,027"
359,LONGBO,Analog Blue Dial Men's Watch-TW000U931,"2,116",91
360,CRESTELLO,Black Plated Metal Chain Analog Wrist Watch for Men | CR-BK023-BLK-CH,"5,595","3,347"
361,Fossil,Chronograph White Dial Men's Watch-CH2882,349,5
362,LOUIS DEVIN,Stainless Steel Chain Analog Wrist Watch for Men (Silver/Green/Blue/Black Dial) | LD-CP059,"1,499",205
363,Fossil,Tillie Analog White Dial Women's Watch-BQ3497,"7,145",332
364,boAt,Analog Men's Watch (Dial Colored Strap),355,322
365,TIMEWEAR,"boAt Newly Launched Ultima Call Max with 2"" Big HD Display, Advanced BT Calling, 100+ Sports Modes, 10 Days Battery Life, Multiple Watch Faces, IP68, HR & SpO2, Sedentary Alerts(Cherry Blossom)","1,999","12,928"
366,Sonata,WT030 Leather Strap Analog Wrist Watch for Men,299,696
367,LOUIS DEVIN,Fibre (SF) Analog Silver Dial Men's Watch NL7921PP15 / NL7921PP15,549,"2,148"
368,MARVIK,Analogue Women's Watch (Black Dial),339,736
369,IMPERIOUS - THE ROYAL WAY,"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls",449,40
370,Fire-Boltt,Digital Sports Square Black Dial Stainless Steel Strap Unisex Watch (Black Dial & Silver Colored Strap) -WCH53,799,"62,531"
371,Shocknshop,"Fire-Boltt Talk 2 Pro Bluetooth Calling Smartwatch, 1.39"" TFT Display with Dual Button, Hands On Voice Assistance, 120 Sports Modes, in Built Mic & Speaker with IP68 Rating (Green)","1,799","6,589"
372,Fire-Boltt,Multi Color Army Kids Digital Watch for Boys,249,216
373,SWADESI STUFF,"Noise Scout Kids Smartwatch with Assisted GPS Tracking, 4G Video & Voice Call, Safe Zone Alert, SOS Button, Habit Formation, in-Built Games, Buddy App for Parents (Racing Black)","5,999",140
374,Noise,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,0,"5,658"
375,V2A,"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368 * 448 Pixel Resolution, Rotating Crown & 60Hz Refresh Rate 100+ Sports Mode, TWS Connection, Voice Assistance (Champagne Gold)",688,"41,350"
376,Hammer,Cammando Midnight Black Analog Digital Sport Watches for Men's and Boys,"1,799",12
377,TIMEWEAR,The Watch,"2,699","5,504"
378,Ben Stiller,"Hammer Stroke 1.96"" Calling Smart Watch with Strong Metallic Body, in Built Games, 100+ Sports Modes, Customized Watchfaces (Black)","1,299",150
379,boAt,Analog New Track Day Date Functioning Leather Strap Watch for Men,990,"1,443"
380,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
381,NIBOSI,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,"2,699",150
382,Fossil,Chronograph Black Men Watch CH2885,"6,145","1,493"
383,Fossil,Chronograph Black Dial Men's Watch-BQ2364,"6,597","1,393"
384,Acnos,"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Deep Blue)","2,999","1,672"
385,Sonata,Brand - A Watch Analogue Plain Black Dial Magnet Watch With Gift Bracelet For Women Or Girls And Watch For Girl Or Women (Combo Of 3),329,747
386,LOUIS DEVIN,Splash Analog Off-White Dial Women's Watch-8976SL15/NP8976SL15,"1,499",87
387,Fire-Boltt ,Mesh Steel Chain Analog Wrist Watch for Men (LD-G042),329,"1,109"
388,Fastrack,"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Galaxy Blue)","1,699",255
389,boAt,Trendies Analog Black Dial Men's Watch-38058PP03/NP38058PP03,299,"127,137"
390,LORENZ,TAGG Verve NEO Smartwatch 1.69’’ HD Display | 60+ Sports Modes | 10 Days Battery | 150+ Maximum Watch Face Library | Waterproof | 24 * 7 HeartRate & Blood Oxygen Tracking | Games & Calculator | Grey,"2,799",878
391,TAGG,Analog Watch for Men | Watch for Boys,"1,550",674
392,TIMEX,"Hammer Pulse X 1.83"" Display Smart Watch with Bluetooth Calling, Voice Assistant & 60+ Sports Modes, SpO2, Heart Rate Tracking (Black)",749,163
393,Hammer,Analog Rose Gold Dial Women's Watch-TWEL11817,395,"5,880"
394,SELLORIA,"beatXP Marv Raze 1.96"" Display, Advanced Bluetooth Calling Smart Watch, Smart AI Voice Assistant, 60 Hz Refresh Rate, Health, SpO2 & Stress Monitoring, Fast Charging (Blue)","1,599",491
395,beatXP,The Watch (Fourteen Tales of Thirteen Covens Book 5),"1,455",243
396,hamt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Mens Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,699",333
397,Fossil,"Fire-Boltt Quantum Luxury Stainless Steel Design 1.28"" Bluetooth Calling Smartwatch with High Resolution of 240 * 240 Px & TWS Connection, SpO2 Tracking with 100 Sports Modes (Raven Gold)",0,912
398,Fire-Boltt,Analog Men's Watch (Multicolor Dial Multi Colored Strap),"1,499",3
399,boAt,Chronograph White Dial Men's Watch-CH2882,139,"2,832"
400,Audrey Brice,"PTron Newly Launched Force X10S Smartwatch with Bluetooth Calling, 1.85"" Full Touch Display, 600 NITS Brightness, HR, SpO2, Watch Faces, Voice Assistant, 5days Battery Life & IP68 Waterproof (Black)","5,595",83
401,pTron,"boAt Wave Edge with 1.85"" HD Display, Advanced Bluetooth Calling Chip, Functional Crown, 100+ Sports Modes,Widget Control,AI Voice Assistance,Inbuilt Games, IP68(Active Black)","3,999","3,347"
402,Acnos,"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, 1.69"" Display, AI Voice Assistance with 100 Sports Modes, with SpO2 & Heart Rate Monitoring (Navy Blue)","2,099","22,197"
403,Fire-Boltt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,499","1,338"
404,TIMEX,Casual Analog Dial Men's Watch -NM3124SL02 / NL3124SL02/NP3124SL02,285,122
405,Fastrack,"Men's Analog White Dial Coloured Quartz Watch, Round Dial Rose Gold Stainless Steel Case - TWNTG0900",284,13
406,Titan,"Digital 24 Images Projector Watch for Kids Boys Rubber Material Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906",999,"3,700"
407,ADAMO,Neo Analog Grey Dial Women's Watch-2648WL01,"1,695","14,135"
408,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199",379
409,Mobivax,"Bluetooth Smart Watch for Men Women Girls Boys Kids - ID116 Fitness Watch with Heart Rate, Sleep and Pedometer Monitoring, Feature-Rich Activity Tracker",449,34
410,Shocknshop,New Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24 * 7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control,375,593
411,BENYAR,Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),"2,690","1,517"
412,Fastrack,Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men,"1,595",456
413,Shocknshop,"SENS NUTON 1 with 1.7 IPS Display, Orbiter, 5ATM & 150+ Watch Faces & Free Additional Strap (Royal Silver)",489,114
414,SENS,Analog Digital Sports Black Dial Multi Functional Mens Boys Watch -SK1155,"1,099","8,550"
415,Matrix,Trendies Analog Black Dial Men's Watch-NL38048PP01,275,900
416,REDUX,Analog Blue-Grey Dial Men's Watch,245,"2,309"
417,V2A,"Boys and Girls Kids Watch - Waterproof Watch, Gifts for Boys and Girls Age 5-13 for Multi-Functional 30 M Waterproof Digital Sports Watches for 3 4 5 6 7 Year Old Girls",799,705
418,V2A,Black Dial Digital Sports Watch 5ATM Waterproof with Alarm and Stopwatch Wrist Watch for Men and Boys | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,395,"3,027"
419,WRIGHTRACK,Analogue Men's Watch (White Dial Brown Colored Strap),"1,999",733
